Timestamp,Project Title,Big Idea/How It Works,Difficulty Level,Open Questions
10/28/2019 12:04:11,Public photo VR,Takes photos of common places from public sources and uses the science of photogrammetry to knit them together in 3-D to create a 3D VR environment,Challenging - a problem with numerous unknowns and difficulties,Where does the data come from? Are there options for soothed edges or hard edges? What tech will you use to navigate the results? Is there a tech-independent format for outputting the results?
10/28/2019 12:04:36,Bad Program Idea Generator,Generates a bad idea for programs for somebody to write,"Easy - requires some thought, but a solution will present few difficulties",
10/28/2019 12:07:02,Artistic Influence,"A system that shows artist￼s And their influences, mapping them on a timeline (with their active artistic periods indicated) showing samples of their work and a brief biography from Wikipedia. ",Difficult - a problem whose solution may present several difficulties,Where does the influencer and influence the data come from? ￼Perhaps combing through News archives of shared exhibitions? mentions together in articles?￼ 
10/28/2019 12:08:49,Stealth Adblocker,"Adblocker addon for Google Chrome that is invisible to the server - requesting all ad content, but not displaying them. ￼",Normal - a problem of typical or average,How hard is it to write a Google Chrome addon? What language is that in?
10/28/2019 12:12:55,Distracted Driver,"Program to analyze dashboard video to classify oncoming drivers as looking forward, looking down, looking elsewhere, or undetermined. With a significant amount of data, it can offer stats about how many drivers are distracted.",Difficult - a problem whose solution may present several difficulties,"Could we use OpenCV to find cars and drivers? Can we use OpenCV to clasify them as looking forward or down? Oncoming drivers may be in view for quite a number of frames with possibly different classification results for different frames, so how handle conflicting results? For how many frames do we have to have them looking away to classify them as distracted?"
10/28/2019 12:15:20,Butt Dial,Website to submit butt/pocket dial voicemails,"Easy - requires some thought, but a solution will present few difficulties",How exhibit? How curate interesting ones?
10/28/2019 12:26:42,How Big Is a ...,"Estimates the Length or Volume of Anything Using Common Objects! Also shows illustrations of the comparison objects. Lined up, or pilled up or whatever.

Example:  How big is the sun?
Answer: You can fit 109 Earths side by side across the diameter of the sun.

There can be a fuck ton of data about sizes and volumes of things, but just a few favorite comparison objects at different scales, say marbles, baseballs, footballs, refrigerators, VW bugs, schoolbusses, semi-trucks, 747s, freight trains, moon, etc. There should be a lot of them at different scales.",Normal - a problem of typical or average,"How are objects entered in the database? How does the program come up with the comparison object? Can you specify the comparison object (like ""How big is the Earth in potatoes?"")? "
10/28/2019 12:32:34,How long will it take for someone to find me dead in my house?,"How long will it take for someone to find me dead in my house? Kind of self-explanatory, no? But it will ask you a number of questions: 

* Do you live alone?
* Do you keep hogs in your house?
* Do you have pets?
* Do you live in the woods? In the city? In the suburbs?
* Are you employed? Will people likely miss you at work?
* Do you live in a house? Do you have a mortgage or rent?
* Do you have close relatives or friends who you see regularly?
* Do you live off-grid?

In the end it will give you an estimate of how long it would likely take for someone to find your body and what condition you'd be in.",Normal - a problem of typical or average,How do we chain the questions to only ask what is necessary? How do we combine all of the answers? Illustrations? Photos?
10/28/2019 12:36:39,How much do I need?,"A website that helps with food quantities while cooking food for lots of people. 

Example:

* How much dry rice do I need to cook as an accompanying dish for an 8-person dinner?
* How much tequila for margaritas for two on a hot day?
* How many quarts of stew should I make to feed 7 people if it's the only dish?",Normal - a problem of typical or average,How should the interface look? Open question (hard but cool) or select boxes/dropdowns (easy but less cool)? How much does it need to know about recipes (this is hard)?
10/28/2019 12:38:20,This Little Piggie,"Given your weight height and age, site tells you exactly what size and cuts of meat you'd make, what alternative uses the remainder would make, and what would be wasted.","Easy - requires some thought, but a solution will present few difficulties",
10/28/2019 12:40:30,Wheel of Programming Chaos,A machine that you feed maybe your name and some clarifying information and then it chugs and puffs and gears turn and calculates and stuff and outputs an idea that you then have to go and program.,"Easy - requires some thought, but a solution will present few difficulties","How will you make it feel like there is gravity to the decision? Maybe an agreement where you have to type ""I UNDERSTAND"""
10/28/2019 12:41:10,Offline Dinosaur,"Chrome offline Dinosaur game with new challenges, levels, enemies, and powerups, but importantly in the exact same style.","Easy - requires some thought, but a solution will present few difficulties",
10/28/2019 12:42:37,Extremely Accurate and Reliable Weather Service,"Very well formatted random but plausible weather predictor, with photos of ""Current weather conditions"" pulled from public sources.",Beginner - a problem for brand new programmers,
